epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,7123.01,0.88095,0.66311,1.42528,0.85378,0.82735,0.86526,0.60659,1.23814,0.6225,2.23376,0.000453258,0.000453258,0.000453258
66,7229.2,0.8814,0.68302,1.43008,0.84275,0.83541,0.8629,0.5932,1.26732,0.64614,2.30747,0.00044039,0.00044039,0.00044039
67,7334.94,0.87098,0.6802,1.42977,0.84888,0.81969,0.8543,0.59817,1.25556,0.61841,2.27079,0.000427565,0.000427565,0.000427565
68,7442.61,0.89244,0.70221,1.43323,0.85418,0.85073,0.87063,0.62026,1.19832,0.57933,2.16326,0.000414793,0.000414793,0.000414793
69,7552.67,0.88541,0.66853,1.43578,0.84949,0.79632,0.8319,0.59024,1.24154,0.65808,2.24992,0.000402084,0.000402084,0.000402084
70,7662.93,0.87639,0.67785,1.4291,0.86324,0.83815,0.86226,0.60855,1.22864,0.56674,2.21003,0.000389445,0.000389445,0.000389445
71,7773.07,0.86457,0.66116,1.41144,0.85533,0.82907,0.84831,0.59975,1.21875,0.59588,2.22406,0.000376885,0.000376885,0.000376885
72,7883.34,0.86534,0.67584,1.42263,0.85022,0.82133,0.86588,0.61432,1.19894,0.6018,2.17093,0.000364412,0.000364412,0.000364412
73,7993.36,0.86915,0.63602,1.42525,0.85761,0.83567,0.86763,0.61764,1.20384,0.6125,2.1887,0.000352037,0.000352037,0.000352037
74,8103.15,0.87654,0.65431,1.42178,0.85755,0.84648,0.88184,0.61344,1.22554,0.62508,2.24074,0.000339766,0.000339766,0.000339766
75,8213.42,0.86762,0.65356,1.42205,0.84997,0.82983,0.87403,0.60905,1.22383,0.6297,2.21088,0.000327608,0.000327608,0.000327608
76,8323.68,0.85646,0.63552,1.41671,0.85072,0.85176,0.87073,0.60846,1.22642,0.60048,2.21962,0.000315572,0.000315572,0.000315572
77,8433.72,0.85979,0.65311,1.41273,0.85786,0.84368,0.87354,0.61538,1.2116,0.61172,2.18985,0.000303665,0.000303665,0.000303665
78,8543.62,0.84685,0.63835,1.40112,0.83985,0.83002,0.86353,0.60753,1.21919,0.63327,2.22417,0.000291897,0.000291897,0.000291897
79,8653.99,0.85869,0.63744,1.42055,0.85246,0.81859,0.86025,0.59747,1.2525,0.67779,2.29008,0.000280275,0.000280275,0.000280275
